product_name,url,image_link,brand,series,type,capacity,color,material,size,length,width,height,volume,diameter,case_pack_size,pattern,sku,ean_code,barcode,warranty,sale_price,regular_price,in_stock,overview,all_specs
Steelite - 12 In X 10 7/8 In Craft Orange Craft Plate (12 Per Case) - 11330520,https://williamsfoodequipment.com/steelite-12-in-x-10-7-8-in-craft-orange-craft-plate-12-per-case-11330520/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60309/101182/11330520__71004.1712007597.jpg?c=1,Steelite International,Craft,Plates,,Orange,Alumina Vitrified,12 In X 10 7/8 In,,,,,,12,,,,,Lifetime Edge Chip,"$2,229.74",,True,,"{'Brand': 'Steelite International', 'Series': 'Craft', 'Type': 'Plates', 'Color': 'Orange', 'Material': 'Alumina Vitrified', 'Size': '12 In X 10 7/8 In', 'Case Pack Size': '12', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 8 In X 7 3/4 In X 1 3/4 In Yellow Zest Platter (24 Per Case) - 11210587,https://williamsfoodequipment.com/steelite-8-in-x-7-3-4-in-x-1-3-4-in-yellow-zest-platter-24-per-case-11210587/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60323/main/image-url_zoom.webp,Steelite International,,Plates,,Yellow,Alumina Vitrified,8 In X 7 3/4 In X 1 3/4 In,,,,,,24,,,,,Lifetime Edge Chip,"$2,276.92",,True,,"{'Brand': 'Steelite International', 'Type': 'Plates', 'Color': 'Yellow', 'Material': 'Alumina Vitrified', 'Size': '8 In X 7 3/4 In X 1 3/4 In', 'Case Pack Size': '24', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 4 1/4 In X 2 1/4 In (10 Oz) White Willow Soup Cup Unhandled StackIng (36 Per Case) - 9117C1202,https://williamsfoodequipment.com/steelite-4-1-4-in-x-2-1-4-in-10-oz-white-willow-soup-cup-unhandled-stacking-36-per-case-9117c1202/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60230/101092/9117C1202__32208.1712007415.jpg?c=1,Steelite International,Willow,Bowls,10 oz,White,Alumina Vitrified,4 1/4 In X 2 1/4 In,,,,,,36,,,,,Lifetime Edge Chip,"$1,827.69",,True,,"{'Brand': 'Steelite International', 'Series': 'Willow', 'Type': 'Bowls', 'Capacity': '10 oz', 'Color': 'White', 'Material': 'Alumina Vitrified', 'Size': '4 1/4 In X 2 1/4 In', 'Case Pack Size': '36', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 9 In X 2 3/4 In (12 Oz) White Organics Bowl (12 Per Case) - 9002C643,https://williamsfoodequipment.com/steelite-9-in-x-2-3-4-in-12-oz-white-organics-bowl-12-per-case-9002c643/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60337/main/image-url_zoom.webp,Steelite International,Organics,Bowls,12 oz,White,Alumina Vitrified,9 In X 2 3/4 In,,,,,,12,,,,,Lifetime Edge Chip,"$2,450.84",,True,,"{'Brand': 'Steelite International', 'Series': 'Organics', 'Type': 'Bowls', 'Capacity': '12 oz', 'Color': 'White', 'Material': 'Alumina Vitrified', 'Size': '9 In X 2 3/4 In', 'Case Pack Size': '12', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 5 3/4 In X 1 5/8 In (6 1/2 Oz) White Simplicity Cookware Round Eared Dish (36 Per Case) - 11010191,https://williamsfoodequipment.com/steelite-5-3-4-in-x-1-5-8-in-6-1-2-oz-white-simplicity-cookware-round-eared-dish-36-per-case-11010191/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60261/main/image-url_zoom.webp,Steelite International,Simplicity Cookware,Bowls,6 1/2 oz,White,Alumina Vitrified,5 3/4 In X 1 5/8 In,,,,,,36,,,,,Lifetime Edge Chip,"$1,911.78",,True,,"{'Brand': 'Steelite International', 'Series': 'Simplicity Cookware', 'Type': 'Bowls', 'Capacity': '6 1/2 oz', 'Color': 'White', 'Material': 'Alumina Vitrified', 'Size': '5 3/4 In X 1 5/8 In', 'Case Pack Size': '36', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 32 Oz  White Craft Bowl (12 Per Case) - 11550523,https://williamsfoodequipment.com/steelite-11-in-x-9-1-2-in-32-oz-white-craft-bowl-12-per-case-11550523/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/59996/100784/11550523__44450.1712006834.jpg?c=1,Steelite International,Craft,Bowls,32 oz,White,Alumina Vitrified,11 In X 9 1/2 In,,,,,,12,,,,,Lifetime Edge Chip,"$1,340.17",,True,,"{'Brand': 'Steelite International', 'Series': 'Craft', 'Type': 'Bowls', 'Capacity': '32 oz', 'Color': 'White', 'Material': 'Alumina Vitrified', 'Size': '11 In X 9 1/2 In', 'Case Pack Size': '12', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 6 1/4 In X 4 In X 2 In (13 Oz) Blue Craft Cookware Oval Baker (24 Per Case) - 11300400,https://williamsfoodequipment.com/steelite-6-1-4-in-x-4-in-x-2-in-13-oz-blue-craft-cookware-oval-baker-24-per-case-11300400/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60316/101186/11300400__47537.1712007615.jpg?c=1,Steelite International,Craft Cookware,Accessories,13 oz,Blue,Alumina Vitrified,6 1/4 In X 4 In X 2 In,,,,,,24,,,,,Lifetime Edge Chip,"$2,245.46",,True,,"{'Brand': 'Steelite International', 'Series': 'Craft Cookware', 'Type': 'Accessories', 'Capacity': '13 oz', 'Color': 'Blue', 'Material': 'Alumina Vitrified', 'Size': '6 1/4 In X 4 In X 2 In', 'Case Pack Size': '24', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 10 In Craft White Craft Plate Coupe (24 Per Case) - 11550566,https://williamsfoodequipment.com/steelite-10-in-craft-white-craft-plate-coupe-24-per-case-11550566/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60255/main/image-url_zoom.webp,Steelite International,Craft,Plates,,White,Alumina Vitrified,10 In,,,,,,24,,,,,Lifetime Edge Chip,"$1,874.86",,True,,"{'Brand': 'Steelite International', 'Series': 'Craft', 'Type': 'Plates', 'Color': 'White', 'Material': 'Alumina Vitrified', 'Size': '10 In', 'Case Pack Size': '24', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 8 1/2 In X 1 1/2 In (27 Oz) Blue Craft Bowl Coupe (24 Per Case) - 11300570,https://williamsfoodequipment.com/steelite-8-1-2-in-x-1-1-2-in-27-oz-blue-craft-bowl-coupe-24-per-case-11300570/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60242/main/image-url_zoom.webp,Steelite International,Craft,Bowls,27 oz,Blue,Alumina Vitrified,8 1/2 In X 1 1/2 In,,,,,,24,,,,,Lifetime Edge Chip,"$1,874.86",,True,,"{'Brand': 'Steelite International', 'Series': 'Craft', 'Type': 'Bowls', 'Capacity': '27 oz', 'Color': 'Blue', 'Material': 'Alumina Vitrified', 'Size': '8 1/2 In X 1 1/2 In', 'Case Pack Size': '24', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 7 In X 2 3/8 In (7 Oz) White Organics Low Bowl (12 Per Case) - 9002C644,https://williamsfoodequipment.com/steelite-7-in-x-2-3-8-in-7-oz-white-organics-low-bowl-12-per-case-9002c644/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60334/main/image-url_zoom.webp,Steelite International,Organics,Bowls,7 oz,White,Alumina Vitrified,7 In X 2 3/8 In,,,,,,12,,,,,Lifetime Edge Chip,"$2,405.47",,True,,"{'Brand': 'Steelite International', 'Series': 'Organics', 'Type': 'Bowls', 'Capacity': '7 oz', 'Color': 'White', 'Material': 'Alumina Vitrified', 'Size': '7 In X 2 3/8 In', 'Case Pack Size': '12', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 5 1/8 In X 2 3/4 In (12 Oz) White Spyro Low Cup (36 Per Case) - 9032C994,https://williamsfoodequipment.com/steelite-5-1-8-in-x-2-3-4-in-12-oz-white-spyro-low-cup-36-per-case-9032c994/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60285/101153/9032C994__97216.1712007542.jpg?c=1,Steelite International,Spyro,Cups,12 oz,White,Alumina Vitrified,5 1/8 In X 2 3/4 In,,,,,,36,,,,,Lifetime Edge Chip,"$2,071.80",,True,,"{'Brand': 'Steelite International', 'Series': 'Spyro', 'Type': 'Cups', 'Capacity': '12 oz', 'Color': 'White', 'Material': 'Alumina Vitrified', 'Size': '5 1/8 In X 2 3/4 In', 'Case Pack Size': '36', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 5 1/4 In X 2 3/4 In (12 Oz) Blue Craft Low Cup (36 Per Case) - 11300152,https://williamsfoodequipment.com/steelite-5-1-4-in-x-2-3-4-in-12-oz-blue-craft-low-cup-36-per-case-11300152/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60272/main/image-url_zoom.webp,Steelite International,Craft,Cups,12 oz,Blue,Alumina Vitrified,5 1/4 In X 2 3/4 In,,,,,,36,,,,,Lifetime Edge Chip,"$2,008.20",,True,,"{'Brand': 'Steelite International', 'Series': 'Craft', 'Type': 'Cups', 'Capacity': '12 oz', 'Color': 'Blue', 'Material': 'Alumina Vitrified', 'Size': '5 1/4 In X 2 3/4 In', 'Case Pack Size': '36', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 10 In X 8 In (26 Oz) Gray Scape Bowl (12 Per Case) - 1402X0071,https://williamsfoodequipment.com/steelite-10-in-x-8-in-26-oz-gray-scape-bowl-12-per-case-1402x0071/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60186/101032/1402X0071__26207.1712007305.jpg?c=1,Steelite International,Scape,Bowls,26 oz,Gray,Alumina Vitrified,10 In X 8 In,,,,,,12,,,,,Lifetime Edge Chip,"$1,604.78",,True,,"{'Brand': 'Steelite International', 'Series': 'Scape', 'Type': 'Bowls', 'Capacity': '26 oz', 'Color': 'Gray', 'Material': 'Alumina Vitrified', 'Size': '10 In X 8 In', 'Case Pack Size': '12', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 12 In X 10 7/8 In Craft Green Craft Plate (12 Per Case) - 11310520,https://williamsfoodequipment.com/steelite-12-in-x-10-7-8-in-craft-green-craft-plate-12-per-case-11310520/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60306/101180/11310520__89244.1712007590.jpg?c=1,Steelite International,Craft,Plates,,Green,Alumina Vitrified,12 In X 10 7/8 In,,,,,,12,,,,,Lifetime Edge Chip,"$2,229.74",,True,,"{'Brand': 'Steelite International', 'Series': 'Craft', 'Type': 'Plates', 'Color': 'Green', 'Material': 'Alumina Vitrified', 'Size': '12 In X 10 7/8 In', 'Case Pack Size': '12', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 11 In X 3 1/4 In (24 Oz) White Organics Bowl (6 Per Case) - 9002C642,https://williamsfoodequipment.com/steelite-11-in-x-3-1-4-in-24-oz-white-organics-bowl-6-per-case-9002c642/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60226/101086/9002C642__85694.1712007403.jpg?c=1,Steelite International,Organics,Bowls,24 oz,White,Alumina Vitrified,11 In,,,,,,6,,,,,Lifetime Edge Chip,"$1,799.66",,True,,"{'Brand': 'Steelite International', 'Series': 'Organics', 'Type': 'Bowls', 'Capacity': '24 oz', 'Color': 'White', 'Material': 'Alumina Vitrified', 'Size': '11 In', 'Case Pack Size': '6', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 8 In X 2 5/8 In (30 Oz) Brown Essence Bowl (24 Per Case) - 11200596,https://williamsfoodequipment.com/steelite-8-in-x-2-5-8-in-30-oz-brown-essence-bowl-24-per-case-11200596/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60327/main/image-url_zoom.webp,Steelite International,,Bowls,30 oz,Brown,Alumina Vitrified,8 In X 2 5/8 In,,,,,,24,,,,,Lifetime Edge Chip,"$2,315.22",,True,,"{'Brand': 'Steelite International', 'Type': 'Bowls', 'Capacity': '30 oz', 'Color': 'Brown', 'Material': 'Alumina Vitrified', 'Size': '8 In X 2 5/8 In', 'Case Pack Size': '24', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 11 1/2 Oz  White Taste Essence Bowl (24 Per Case) - 11070598,https://williamsfoodequipment.com/steelite-5-1-2-in-11-1-2-oz-white-taste-essence-bowl-24-per-case-11070598/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/58953/main/image-url_zoom.webp,Steelite International,Taste,Bowls,11 1/2 oz,White,Alumina Vitrified,5 BOWL In 1 1/2 OZ,,,,,,24,,,,,Lifetime Edge Chip,$527.86,,True,,"{'Brand': 'Steelite International', 'Series': 'Taste', 'Type': 'Bowls', 'Capacity': '11 1/2 oz', 'Color': 'White', 'Material': 'Alumina Vitrified', 'Size': '5 BOWL In 1 1/2 OZ', 'Case Pack Size': '24', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 8 1/2 In X 5 1/2 In X 1 5/8 In (19 Oz) Green Craft Cookware Oval Sole Dish (12 Per Case) - 11310327,https://williamsfoodequipment.com/steelite-8-1-2-in-x-5-1-2-in-x-1-5-8-in-19-oz-green-craft-cookware-oval-sole-dish-12-per-case-11310327/,https://cdn11.bigcommerce.com/s-obo8yy2d20/stencil/7c1f03c0-f3b2-013e-b714-2e2b3e748efa/e/fedf3e30-f483-013e-81f7-3268ea35f546/img/ProductDefault.gif,Steelite International,Craft Cookware,Accessories,19 oz,Green,Alumina Vitrified,8 1/2 In X 5 1/2 In X 1 5/8 In,,,,,,12,,,,,Lifetime Edge Chip,"$1,842.05",,True,,"{'Brand': 'Steelite International', 'Series': 'Craft Cookware', 'Type': 'Accessories', 'Capacity': '19 oz', 'Color': 'Green', 'Material': 'Alumina Vitrified', 'Size': '8 1/2 In X 5 1/2 In X 1 5/8 In', 'Case Pack Size': '12', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 8 Oz  White Bianco Man Teacup Tall (36 Per Case) - 9102C438,https://williamsfoodequipment.com/steelite-4-1-4-in-x-3-in-8-oz-white-bianco-man-teacup-tall-36-per-case-9102c438/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/59976/main/image-url_zoom.webp,Steelite International,Bianco,Cups,8 oz,White,Alumina Vitrified,4 1/4 In X 3 In,,,,,,36,,,,,Lifetime Edge Chip,"$1,311.36",,True,,"{'Brand': 'Steelite International', 'Series': 'Bianco', 'Type': 'Cups', 'Capacity': '8 oz', 'Color': 'White', 'Material': 'Alumina Vitrified', 'Size': '4 1/4 In X 3 In', 'Case Pack Size': '36', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 5 1/4 In X 2 3/4 In (12 Oz) Green Craft Low Cup (36 Per Case) - 11310152,https://williamsfoodequipment.com/steelite-5-1-4-in-x-2-3-4-in-12-oz-green-craft-low-cup-36-per-case-11310152/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60273/main/image-url_zoom.webp,Steelite International,Craft,Cups,12 oz,Green,Alumina Vitrified,5 1/4 In X 2 3/4 In,,,,,,36,,,,,Lifetime Edge Chip,"$2,008.20",,True,,"{'Brand': 'Steelite International', 'Series': 'Craft', 'Type': 'Cups', 'Capacity': '12 oz', 'Color': 'Green', 'Material': 'Alumina Vitrified', 'Size': '5 1/4 In X 2 3/4 In', 'Case Pack Size': '36', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 14 1/2 In X 8 In X 1 1/2 In White Organics Platter (6 Per Case) - 9002C641,https://williamsfoodequipment.com/steelite-14-1-2-in-x-8-in-x-1-1-2-in-white-organics-platter-6-per-case-9002c641/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60214/main/image-url_zoom.webp,Steelite International,Organics,Platters & Trays,,White,Alumina Vitrified,14 1/2 In X 8 In X 1 1/2 In,,,,,,6,,,,,Lifetime Edge Chip,"$1,750.44",,True,,"{'Brand': 'Steelite International', 'Series': 'Organics', 'Type': 'Platters & Trays', 'Color': 'White', 'Material': 'Alumina Vitrified', 'Size': '14 1/2 In X 8 In X 1 1/2 In', 'Case Pack Size': '6', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 8 1/2 In X 1 1/2 In (27 Oz) Orange Craft Bowl Coupe (24 Per Case) - 11330570,https://williamsfoodequipment.com/steelite-8-1-2-in-x-1-1-2-in-27-oz-orange-craft-bowl-coupe-24-per-case-11330570/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60248/main/image-url_zoom.webp,Steelite International,Craft,Bowls,27 oz,Orange,Alumina Vitrified,8 1/2 In X 1 1/2 In,,,,,,24,,,,,Lifetime Edge Chip,"$1,874.86",,True,,"{'Brand': 'Steelite International', 'Series': 'Craft', 'Type': 'Bowls', 'Capacity': '27 oz', 'Color': 'Orange', 'Material': 'Alumina Vitrified', 'Size': '8 1/2 In X 1 1/2 In', 'Case Pack Size': '24', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 13 1/2 In X 10 5/8 In Revolution Blue Revolution Oval Coupe Platter (12 Per Case) - 17770145,https://williamsfoodequipment.com/steelite-13-1-2-in-x-10-5-8-in-revolution-blue-revolution-oval-coupe-platter-12-per-case-17770145/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60296/main/image-url_zoom.webp,Steelite International,Revolution,Plates,,Blue,Alumina Vitrified,13 1/2 In X 10 5/8 In,,,,,,12,,,,,Lifetime Edge Chip,"$2,132.65",,True,,"{'Brand': 'Steelite International', 'Series': 'Revolution', 'Type': 'Plates', 'Color': 'Blue', 'Material': 'Alumina Vitrified', 'Size': '13 1/2 In X 10 5/8 In', 'Case Pack Size': '12', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 5 1/4 In X 2 3/4 In (12 Oz) White Craft Low Cup (36 Per Case) - 11550152,https://williamsfoodequipment.com/steelite-5-1-4-in-x-2-3-4-in-12-oz-white-craft-low-cup-36-per-case-11550152/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60270/main/image-url_zoom.webp,Steelite International,Craft,Cups,12 oz,White,Alumina Vitrified,5 1/4 In X 2 3/4 In,,,,,,36,,,,,Lifetime Edge Chip,"$2,008.20",,True,,"{'Brand': 'Steelite International', 'Series': 'Craft', 'Type': 'Cups', 'Capacity': '12 oz', 'Color': 'White', 'Material': 'Alumina Vitrified', 'Size': '5 1/4 In X 2 3/4 In', 'Case Pack Size': '36', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 4 1/2 In X 4 3/4 In (12 Oz) Orange Craft Quench Mug (24 Per Case) - 11330591,https://williamsfoodequipment.com/steelite-4-1-2-in-x-4-3-4-in-12-oz-orange-craft-quench-mug-24-per-case-11330591/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60185/101031/11330591__93865.1712007303.jpg?c=1,Steelite International,Craft,Mugs,12 oz,Orange,Alumina Vitrified,4 1/2 In X 4 3/4 In,,,,,,24,,,,,Lifetime Edge Chip,"$1,598.64",,True,,"{'Brand': 'Steelite International', 'Series': 'Craft', 'Type': 'Mugs', 'Capacity': '12 oz', 'Color': 'Orange', 'Material': 'Alumina Vitrified', 'Size': '4 1/2 In X 4 3/4 In', 'Case Pack Size': '24', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 4 1/4 In X 2 7/8 In (8 Oz) Beige Monaco Vogue Reg Teacup Tall (36 Per Case) - 9019C338,https://williamsfoodequipment.com/steelite-4-1-4-in-x-2-7-8-in-8-oz-beige-monaco-vogue-reg-teacup-tall-36-per-case-9019c338/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60343/main/image-url_zoom.webp,Steelite International,Monaco Vogue,Cups,8 oz,Beige,Alumina Vitrified,4 1/4 In X 2 7/8 In,,,,,,36,,,,,Lifetime Edge Chip,"$2,551.80",,True,,"{'Brand': 'Steelite International', 'Series': 'Monaco Vogue', 'Type': 'Cups', 'Capacity': '8 oz', 'Color': 'Beige', 'Material': 'Alumina Vitrified', 'Size': '4 1/4 In X 2 7/8 In', 'Case Pack Size': '36', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 8 In White Organics Plate (24 Per Case) - 9002C647,https://williamsfoodequipment.com/steelite-8-in-white-organics-plate-24-per-case-9002c647/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60195/101045/9002C647__39899.1712007325.jpg?c=1,Steelite International,Organics,Plates,,White,Alumina Vitrified,8 In,,,,,,24,,,,,Lifetime Edge Chip,"$1,661.38",,True,,"{'Brand': 'Steelite International', 'Series': 'Organics', 'Type': 'Plates', 'Color': 'White', 'Material': 'Alumina Vitrified', 'Size': '8 In', 'Case Pack Size': '24', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 12 In X 10 1/4 In Revolution Gray Revolution Spice Plate (12 Per Case) - 17750579,https://williamsfoodequipment.com/steelite-12-in-x-10-1-4-in-revolution-gray-revolution-spice-plate-12-per-case-17750579/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60200/main/image-url_zoom.webp,Steelite International,Revolution,Platters,,Gray,Alumina Vitrified,12 X In 10 1/4 In,,,,,,12,,,,,Lifetime Edge Chip,"$1,669.74",,True,,"{'Brand': 'Steelite International', 'Series': 'Revolution', 'Type': 'Platters', 'Color': 'Gray', 'Material': 'Alumina Vitrified', 'Size': '12 X In 10 1/4 In', 'Case Pack Size': '12', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 10 In X 7 In Green Craft Cookware Presentation Pan (6 Per Case) - 11310866,https://williamsfoodequipment.com/steelite-10-in-x-7-in-green-craft-cookware-presentation-pan-6-per-case-11310866/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60293/101160/11310866__86120.1712007557.jpg?c=1,Steelite International,Craft Cookware,Accessories,,Green,Alumina Vitrified,10 In X 7 In,,,,,,6,,,,,Lifetime Edge Chip,"$2,107.69",,True,,"{'Brand': 'Steelite International', 'Series': 'Craft Cookware', 'Type': 'Accessories', 'Color': 'Green', 'Material': 'Alumina Vitrified', 'Size': '10 In X 7 In', 'Case Pack Size': '6', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 4 Oz  White Craft Bowl (12 Per Case) - 11550525,https://williamsfoodequipment.com/steelite-5-in-x-3-3-4-in-x-2-1-8-in-4-oz-white-craft-bowl-12-per-case-11550525/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/59182/main/image-url_zoom.webp,Steelite International,Craft,Bowls,4 oz,White,Alumina Vitrified,5 In X 3 3/4 In X 2 1/8 In,,,,,,12,,,,,Lifetime Edge Chip,$700.17,,True,,"{'Brand': 'Steelite International', 'Series': 'Craft', 'Type': 'Bowls', 'Capacity': '4 oz', 'Color': 'White', 'Material': 'Alumina Vitrified', 'Size': '5 In X 3 3/4 In X 2 1/8 In', 'Case Pack Size': '12', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 5 In X 2 1/2 In (10 Oz) White Craft Slimline Cup StackIng (36 Per Case) - 11550188,https://williamsfoodequipment.com/steelite-5-in-x-2-1-2-in-10-oz-white-craft-slimline-cup-stacking-36-per-case-11550188/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60283/main/image-url_zoom.webp,Steelite International,Craft,Cups,10 oz,White,Alumina Vitrified,5 In X 2 1/2 In,,,,,,36,,,,,Lifetime Edge Chip,"$2,022.57",,True,,"{'Brand': 'Steelite International', 'Series': 'Craft', 'Type': 'Cups', 'Capacity': '10 oz', 'Color': 'White', 'Material': 'Alumina Vitrified', 'Size': '5 In X 2 1/2 In', 'Case Pack Size': '36', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 12 In X 10 7/8 In Craft White Craft Plate (12 Per Case) - 11550520,https://williamsfoodequipment.com/steelite-12-in-x-10-7-8-in-craft-white-craft-plate-12-per-case-11550520/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60310/101184/11550520__68014.1712007598.jpg?c=1,Steelite International,Craft,Plates,,White,Alumina Vitrified,12 In X 10 7/8 In,,,,,,12,,,,,Lifetime Edge Chip,"$2,229.74",,True,,"{'Brand': 'Steelite International', 'Series': 'Craft', 'Type': 'Plates', 'Color': 'White', 'Material': 'Alumina Vitrified', 'Size': '12 In X 10 7/8 In', 'Case Pack Size': '12', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 6 In X 2 1/4 In (10 Oz) White Spyro Soup Cup Handled (36 Per Case) - 9032C735,https://williamsfoodequipment.com/steelite-6-in-x-2-1-4-in-10-oz-white-spyro-soup-cup-handled-36-per-case-9032c735/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60336/main/image-url_zoom.webp,Steelite International,Spyro,Bowls,10 oz,White,Alumina Vitrified,6 In X 2 1/4 In,,,,,,36,,,,,Lifetime Edge Chip,"$2,408.19",,True,,"{'Brand': 'Steelite International', 'Series': 'Spyro', 'Type': 'Bowls', 'Capacity': '10 oz', 'Color': 'White', 'Material': 'Alumina Vitrified', 'Size': '6 In X 2 1/4 In', 'Case Pack Size': '36', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 4 1/4 In W X 2 In H (10 Oz) Brown Dapple Soup Cup (36 Per Case) - 17140121,https://williamsfoodequipment.com/steelite-4-1-4-in-w-x-2-in-h-10-oz-brown-dapple-soup-cup-36-per-case-17140121/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60220/101075/17140121__05291.1712007388.jpg?c=1,Steelite International,Dapple,Bowls,10 oz,Brown,,4 1/4 In W X 2 In H,,,,,,36,,,,,Lifetime Breakage,"$1,766.16",,True,,"{'Brand': 'Steelite International', 'Series': 'Dapple', 'Type': 'Bowls', 'Capacity': '10 oz', 'Color': 'Brown', 'Size': '4 1/4 In W X 2 In H', 'Case Pack Size': '36', 'Warranty': 'Lifetime Breakage'}"
Steelite - 6 1/2 In Beige Monaco Vogue Plate Vogue (36 Per Case) - 9019C362,https://williamsfoodequipment.com/steelite-6-1-2-in-beige-monaco-vogue-plate-vogue-36-per-case-9019c362/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60294/101162/9019C362__61325.1712007559.jpg?c=1,Steelite International,Monaco Vogue,Plates,,Beige,Alumina Vitrified,6 1/2 In,,,,,,36,,,,,Lifetime Edge Chip,"$2,110.77",,True,,"{'Brand': 'Steelite International', 'Series': 'Monaco Vogue', 'Type': 'Plates', 'Color': 'Beige', 'Material': 'Alumina Vitrified', 'Size': '6 1/2 In', 'Case Pack Size': '36', 'Warranty': 'Lifetime Edge Chip'}"
Steelite - 5 3/4 In X 1 5/8 In (6 1/2 Oz) Orange Craft Cookware Round Earred Dish (36 Per Case) - 11330191,https://williamsfoodequipment.com/steelite-5-3-4-in-x-1-5-8-in-6-1-2-oz-orange-craft-cookware-round-earred-dish-36-per-case-11330191/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60357/main/image-url_zoom.webp,Steelite International,Craft Cookware,Bowls,6 1/2 oz,Orange,Alumina Vitrified,5 3/4 In X 1 5/8 In,,,,,,36,,,,,Lifetime Edge Chip,"$3,405.12",,True,,"{'Brand': 'Steelite International', 'Series': 'Craft Cookware', 'Type': 'Bowls', 'Capacity': '6 1/2 oz', 'Color': 'Orange', 'Material': 'Alumina Vitrified', 'Size': '5 3/4 In X 1 5/8 In', 'Case Pack Size': '36', 'Warranty': 'Lifetime Edge Chip'}"
